City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,71.11,55,95,7.38,PF,1593052652
1,hermanus,-34.42,19.23,57.0,68,1,8.01,ZA,1593052652
2,yatou,37.15,122.38,71.94,75,80,15.39,CN,1593052652
3,veliki trnovac,42.48,21.74,54.0,94,0,2.53,RS,1593052652
4,dwarka,22.24,68.97,86.25,75,0,11.3,IN,1593052652
5,balkanabat,39.51,54.37,94.78,10,0,15.59,TM,1593052652
6,boyabat,41.47,34.77,62.85,82,1,2.84,TR,1593052652
7,hithadhoo,-0.6,73.08,84.06,75,99,9.15,MV,1593052652
8,longyearbyen,78.22,15.64,42.8,87,90,3.36,SJ,1593052652
9,georgetown,5.41,100.34,84.2,74,20,9.17,MY,1593052521
10,port alfred,-33.59,26.89,70.0,28,0,7.0,ZA,1593052420
11,kieta,-6.22,155.63,86.11,57,1,6.6,PG,1593052652
12,hervey bay,-25.3,152.85,66.99,52,0,5.01,AU,1593052652
13,los banos,14.17,121.18,91.99,63,40,5.82,PH,1593052652
14,ushuaia,-54.8,-68.3,35.6,90,75,11.41,AR,1593052609
15,samarai,-10.62,150.67,79.65,84,51,16.87,PG,1593052652
16,tieli,46.95,128.05,69.87,65,26,2.71,CN,1593052652
17,mitu,1.2,-70.17,72.55,98,72,1.41,CO,1593052653
18,pisco,-13.7,-76.22,62.6,82,75,4.7,PE,1593052653
19,lebyazhye,55.27,66.49,53.24,82,39,10.11,RU,1593052653
20,hilo,19.73,-155.09,80.6,69,90,12.75,US,1593052644
21,bambous virieux,-20.34,57.76,71.01,94,75,14.99,MU,1593052653
22,torbay,47.67,-52.73,68.0,94,40,13.87,CA,1593052653
23,hobart,-42.88,147.33,57.2,76,75,6.93,AU,1593052534
24,cidreira,-30.18,-50.21,67.08,76,32,3.38,BR,1593052653
25,bredasdorp,-34.53,20.04,44.6,93,0,4.83,ZA,1593052653
26,belmonte,-15.86,-38.88,69.8,88,40,3.36,BR,1593052653
27,algemesi,39.18,-0.43,71.01,87,0,1.01,ES,1593052654
28,albany,42.6,-73.97,72.0,78,1,1.01,US,1593052623
29,chuy,-33.7,-53.46,61.84,98,100,6.08,UY,1593052654
30,havre-saint-pierre,50.23,-63.6,68.0,82,40,10.29,CA,1593052654
31,hamilton,39.18,-84.53,68.0,82,1,4.09,US,1593052618
32,mangrol,21.12,70.12,86.43,71,19,8.84,IN,1593052654
33,jamui,24.92,86.22,90.75,56,96,9.44,IN,1593052655
