City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0,-57.56,48.99,87,90,5.82,AR,1593729265
1,port elizabeth,-33.92,25.57,60.8,72,20,17.22,ZA,1593729496
2,mataura,-46.19,168.86,39.0,83,27,3.0,NZ,1593729496
3,punta arenas,-53.15,-70.92,33.8,93,90,5.82,CL,1593729496
4,buarcos,40.17,-8.88,61.0,77,0,10.29,PT,1593729496
5,kavieng,-2.57,150.8,83.34,69,9,7.0,PG,1593729497
6,busselton,-33.65,115.33,41.0,83,0,8.77,AU,1593729497
7,guerrero negro,27.98,-114.06,78.94,45,0,16.42,MX,1593729497
8,bredasdorp,-34.53,20.04,53.6,87,28,5.82,ZA,1593729497
9,cockburn town,21.46,-71.14,86.0,74,40,13.87,TC,1593729497
10,nikolskoye,59.7,30.79,62.6,82,40,4.47,RU,1593729497
11,santa cruz,-17.8,-63.17,66.2,48,90,3.36,BO,1593729217
12,leh,34.17,77.58,56.52,38,0,5.32,IN,1593729497
13,atuona,-9.8,-139.03,80.71,77,14,25.52,PF,1593729497
14,hermanus,-34.42,19.23,55.0,91,59,1.01,ZA,1593729432
15,avarua,-21.21,-159.78,78.8,78,58,4.7,CK,1593729497
16,hami,42.8,93.45,78.48,19,1,9.28,CN,1593729498
17,barrow,71.29,-156.79,48.2,70,1,16.11,US,1593729337
18,ushuaia,-54.8,-68.3,28.4,92,40,6.93,AR,1593729498
19,mahebourg,-20.41,57.7,69.8,88,75,16.11,MU,1593729498
20,tiksi,71.69,128.87,35.42,89,25,12.95,RU,1593729498
21,santa maria,-29.68,-53.81,42.1,84,3,1.74,BR,1593729498
22,puerto ayora,-0.74,-90.35,77.0,73,20,21.92,EC,1593729498
23,russell,32.35,-85.2,87.8,65,1,4.7,US,1593729499
24,howard springs,-12.5,131.05,71.01,94,1,3.36,AU,1593729499
25,palmer,42.16,-72.33,89.6,40,75,5.82,US,1593729499
26,husavik,66.04,-17.34,51.8,57,95,8.05,IS,1593729499
27,elizabeth city,36.29,-76.25,88.0,55,1,5.82,US,1593729499
28,albany,42.6,-73.97,82.0,80,77,2.53,US,1593729499
29,ust-kulom,61.69,53.69,51.44,98,90,4.99,RU,1593729499
30,port alfred,-33.59,26.89,62.01,75,1,7.0,ZA,1593729499
31,nantucket,41.28,-70.1,73.99,83,1,6.93,US,1593729499
32,camana,-16.62,-72.71,60.13,77,12,4.34,PE,1593729499
33,fallon,39.47,-118.78,87.01,12,20,5.82,US,1593729499
34,namatanai,-3.67,152.43,82.04,76,50,7.47,PG,1593729499
35,vila,42.03,-8.16,62.01,67,21,9.17,PT,1593729500
36,henties bay,-22.12,14.28,64.99,37,0,4.59,NA,1593729500
37,padang,-0.95,100.35,78.44,78,65,3.09,ID,1593729428
38,bengkulu,-3.8,102.27,77.4,81,99,2.26,ID,1593729500
39,hobart,-42.88,147.33,45.0,65,40,12.75,AU,1593729487
40,auki,-8.77,160.7,79.74,83,100,4.25,SB,1593729500
41,castro,-24.79,-50.01,44.01,81,7,0.92,BR,1593729500
42,thompson,55.74,-97.86,75.2,69,20,10.29,CA,1593729500
43,kapaa,22.08,-159.32,84.2,62,1,13.87,US,1593729500
44,esperance,-33.87,121.9,48.2,100,90,4.7,AU,1593729500
45,mogwase,-25.18,27.27,51.53,45,0,3.13,ZA,1593729500
46,pevek,69.7,170.31,41.61,92,100,11.05,RU,1593729500
47,rikitea,-23.12,-134.97,70.41,70,0,20.94,PF,1593729500
48,yulara,-25.24,130.99,48.2,61,47,9.17,AU,1593729500
49,chapais,49.78,-74.85,78.8,27,1,9.17,CA,1593729501
50,kaeo,-35.1,173.78,53.01,3,0,3.18,NZ,1593729501
51,lebu,-37.62,-73.65,49.57,75,90,1.23,CL,1593729501
52,deputatskiy,69.3,139.9,46.53,62,98,14.99,RU,1593729501
53,hithadhoo,-0.6,73.08,84.06,65,99,3.36,MV,1593729501
54,tuatapere,-46.13,167.68,39.0,83,52,3.0,NZ,1593729501
55,upernavik,72.79,-56.15,38.82,80,8,9.91,GL,1593729501
56,klaksvik,62.23,-6.59,42.8,87,100,3.36,FO,1593729501
57,goderich,43.75,-81.72,78.01,59,0,0.2,CA,1593729501
58,la ronge,55.1,-105.28,62.6,93,75,6.93,CA,1593729501
59,hamilton,39.18,-84.53,88.0,43,20,3.36,US,1593729501
60,geraldton,-28.77,114.6,51.8,66,0,14.99,AU,1593729502
61,houma,29.6,-90.72,96.01,59,75,10.29,US,1593729502
62,vaini,-21.2,-175.2,73.4,64,20,10.29,TO,1593729502
63,mehamn,71.04,27.85,44.78,87,95,22.01,NO,1593729502
64,ocampo,21.65,-101.5,74.21,30,77,11.27,MX,1593729502
65,punta alta,-38.88,-62.07,47.34,74,0,9.62,AR,1593729502
66,lavrentiya,65.58,-171.0,43.92,94,100,4.61,RU,1593729502
67,nishihara,26.18,127.76,82.4,94,75,6.93,JP,1593729502
68,karratha,-20.74,116.85,71.35,36,65,18.39,AU,1593729502
69,novopokrovka,49.84,36.55,69.8,60,0,4.47,UA,1593729502
70,isangel,-19.55,169.27,71.6,64,75,15.88,VU,1593729502
71,hit,33.64,42.83,83.34,19,0,3.04,IQ,1593729502
72,sinnamary,5.38,-52.95,78.87,86,52,9.31,GF,1593729502
73,labuan,5.28,115.24,78.8,94,75,2.24,MY,1593729290
74,san carlos de bariloche,-41.15,-71.31,41.0,75,100,20.8,AR,1593729503
75,tessalit,20.2,1.01,95.61,10,0,10.85,ML,1593729503
76,apex,35.73,-78.85,90.0,43,75,8.05,US,1593729337
77,vila franca do campo,37.72,-25.43,66.2,77,75,3.36,PT,1593729503
78,lasa,46.62,10.7,60.01,93,75,3.36,IT,1593729503
79,cape town,-33.93,18.42,53.6,93,20,4.7,ZA,1593729465
80,lima,-12.04,-77.03,62.6,72,90,11.41,PE,1593729246
81,cedar falls,42.53,-92.45,89.6,46,1,11.41,US,1593729503
82,clyde river,70.47,-68.59,53.6,62,20,25.28,CA,1593729503
83,sitka,57.05,-135.33,80.6,26,40,5.82,US,1593729503
84,saskylakh,71.92,114.08,55.06,62,65,13.65,RU,1593729504
85,ziro,27.63,93.83,59.9,100,77,0.83,IN,1593729504
86,lukaya,-0.15,31.87,64.69,72,0,1.45,UG,1593729504
87,garissa,-0.45,39.64,73.04,72,55,14.47,KE,1593729504
88,teguise,29.06,-13.56,71.6,83,20,21.92,ES,1593729504
89,naze,28.37,129.48,78.8,94,75,12.75,JP,1593729505
90,sidi ali,36.1,0.42,76.15,43,60,4.94,DZ,1593729505
